GEOGROUP,POPULATION,Region,Country,UTM-X (huso 30),UTM-Y (huso 30),ALTITUDE,Region,Country,UTM-X (huso 30),UTM-Y (huso 30),ALTITUDE,ID_new,A6F03,,3pet,,NZPR1078,,ctg4363,,rptest1,,2669,,epi5,,gPp14,,epi3,
,Hourtin,Landas,FR,645342.44,5004981.38,26,Landas,FR,645342.44,5004981.38,26,HOU1,262,266,0,0,349,357,118,120,223,232,161,165,216,216,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU2,266,266,0,0,347,349,116,120,226,226,165,165,216,220,220,223,249,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU3,258,266,0,0,347,349,116,122,223,226,165,165,216,216,220,220,249,249
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU4,262,264,0,0,357,357,116,120,226,232,165,165,220,220,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU5,262,264,0,0,349,357,116,120,223,226,165,165,202,216,220,220,249,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU6,262,262,0,0,0,0,116,120,223,229,165,165,216,216,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU7,262,266,0,0,347,349,114,120,223,232,165,165,202,216,217,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU8,262,264,0,0,349,357,116,120,229,229,165,165,214,216,217,220,247,249
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU9,262,262,0,0,349,349,114,120,226,229,165,165,216,216,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU10,264,264,0,0,349,357,116,120,226,226,165,165,216,220,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU11,262,266,0,0,357,357,116,120,223,226,165,165,202,216,0,0,0,0
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU12,262,262,0,0,349,357,116,116,223,229,163,165,216,216,220,220,251,253
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU13,262,266,0,0,347,357,116,120,223,226,165,165,216,216,0,0,0,0
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU14,258,258,0,0,347,349,120,120,223,223,165,165,202,202,217,220,251,253
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU15,266,266,0,0,347,349,116,116,223,232,165,165,216,216,217,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU16,260,266,0,0,347,349,116,120,223,229,165,165,216,216,220,220,251,257
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU17,262,262,0,0,347,347,116,120,223,232,165,165,214,220,220,220,249,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU18,266,266,0,0,347,349,114,120,223,229,163,165,216,216,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU19,266,266,0,0,347,357,116,120,226,232,165,165,216,220,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU20,266,266,0,0,349,357,114,116,223,232,163,165,216,216,220,220,249,257
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU21,262,266,0,0,347,349,116,116,223,232,163,165,216,216,220,220,239,239
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU22,262,266,0,0,0,0,114,116,226,229,161,165,216,216,220,220,249,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU23,266,270,0,0,347,349,114,120,0,0,165,165,202,220,220,220,251,257
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU24,258,266,0,0,347,357,116,120,229,232,165,165,216,220,220,220,251,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU25,262,266,0,0,347,349,120,120,223,226,165,165,202,216,220,220,249,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU26,266,270,0,0,347,349,114,116,223,232,163,165,216,220,217,220,249,249
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU27,262,262,0,0,347,347,114,116,229,229,165,165,216,216,217,217,251,253
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU28,266,266,0,0,349,357,114,116,226,232,165,165,216,220,220,220,249,251
,Hourtin,Landas,FR,645342.44,5004981.38,,,,,,,HOU29,262,266,0,0,349,357,116,120,229,229,165,165,216,216,217,220,249,249
,Leverdon,Landas,FR,649048.003,5046135.443,,Landas,FR,649048.003,5046135.443,,VER1,258,262,0,0,347,347,116,120,223,229,165,165,202,216,0,0,0,0
,Leverdon,Landas,FR,649048.003,5046135.443,,,,,,,VER2,266,266,0,0,349,349,116,120,223,226,165,165,202,202,220,220,249,257
