Gene,Ara_plusAnc,Ara_plus1Ev,Ara_minusAnc,Ara_minus1Ev,Ara_minusspoTAnc,Ara_minusAnc
phoE,-3.813607492,-3.980883628,-3.796987011,-4.171924971,-4.182764538,-4.224460083
dsbC,-3.669001199,-3.665210333,-3.72354722,-3.602911928,-3.673122026,-3.66174406
b2291,-3.681127465,-3.583930547,-3.525208408,-3.504916552,-3.673374412,-3.726120435
potD,-3.679895623,-3.641635255,-3.650317647,-3.558059027,-3.854893115,-3.872692088
gatR_,-3.975626967,-3.878690141,-4.012016605,-3.860880795,-4.11092465,-4.142600915
phoQ,-4.277880743,-4.488884512,-4.141760078,-3.822488093,-3.949961519,-3.889255967
yegE,-4.134053091,-4.203581246,-4.103043294,-4.0730455,-3.900876548,-3.955457623
nfrA,-4.337988572,-4.323420496,-4.380417469,-4.405399897,-4.035631164,-4.098201684
b0532,-4.688365161,-4.666301746,-4.582255013,-4.571188207,-4.121908688,-4.211229642
dacB,-4.075433166,-4.149580287,-4.083354957,-4.109949043,-3.823503846,-3.857758439
yggE,-3.482463062,-3.374145142,-3.361815285,-3.320827479,-3.488740956,-3.537609478
narK,-4.057969901,-4.006302371,-4.049931156,-3.92660949,-4.004961801,-4.017029932
yeiQ,-3.662274327,-3.587412794,-3.631353423,-3.52445806,-3.720694094,-3.733607856
osmE,-4.291520512,-4.236347158,-4.053882482,-4.086719665,-4.205924518,-4.256252683
b2326,-4.217954172,-4.249859084,-4.24843166,-4.166491119,-4.046630191,-4.062782714
insB_,-3.281960301,-3.31187739,-3.307733808,-3.250858415,-2.936023262,-2.954953414
mrdA,-3.835135432,-3.861909794,-3.60034103,-3.594074555,-3.730777991,-3.735064693
acrE,-4.344930087,-4.304551726,-4.323177133,-4.323599623,-4.051986981,-4.137551909
yjbB,-3.136286609,-3.079275469,-2.94409679,-2.840164948,-3.190888232,-3.210293835
sapF,-4.138849251,-4.128778999,-4.157853259,-4.02400467,-4.134508141,-4.196671083
eutE,-3.519292762,-3.495677915,-3.52769288,-3.435261178,-3.544866046,-3.567190311
relA,-3.593038661,-3.463275812,-3.551599421,-3.287934683,-3.489489112,-3.503698283
yfiE,-4.595530604,-4.657351917,-4.361428108,-4.323567116,-4.136573663,-4.297883426
pspA,-3.660590731,-3.57253838,-3.631655543,-3.592439944,-3.686657152,-3.700313522
kdsB,-3.943850876,-4.110768261,-4.039544795,-3.981565911,-3.945716168,-4.02336845
yiaD,-4.082503846,-4.182030542,-3.958904813,-3.933174794,-4.036369797,-4.092522805
nhaA,-3.648089323,-3.609981586,-3.561836355,-3.487282623,-3.568000694,-3.612824227
b1453,-3.739106948,-3.672799942,-3.686328778,-3.592716425,-3.816524595,-3.840455868
ascB,-3.686571973,-3.671864083,-3.637630001,-3.571036488,-3.681898822,-3.716755385
ompR,-3.953436328,-4.017464936,-3.938998538,-3.842094252,-3.924261214,-3.9427415
b2847,-3.600968189,-3.554964178,-3.617421198,-3.5040368,-3.691106581,-3.70570972
sieB,-3.619185284,-3.59732674,-3.660227615,-3.574286851,-3.642626714,-3.659722934
b0983,-4.642557363,-4.668265979,-4.598266992,-4.464875979,-4.13696433,-4.204096298
rfaL,-5.082376808,-4.891133226,-5.129662137,-5.068456594,-5.245173632,-5.458590947
fhuD,-3.630279447,-3.486310512,-3.519951507,-3.473758515,-3.648526371,-3.685715747
btuD,-4.353233214,-4.379040963,-4.378638177,-4.379541094,-4.336916226,-4.3981791
fucU,-3.794225696,-3.674369801,-3.767840042,-3.67687714,-3.837427885,-3.86072653
lexA,-3.555202168,-3.345399186,-3.557661703,-3.328645062,-3.485707344,-3.457197299
yhaJ,-3.375758128,-3.321087221,-3.366539905,-3.275038287,-3.389021292,-3.396687572
insB_,-3.26736088,-3.344360693,-3.350555037,-3.250118138,-2.913917848,-2.943005773
insB_,-3.457109478,-3.564215941,-3.516938068,-3.549435809,-3.051682427,-3.041516642
fliN,-3.757939936,-3.518675602,-3.846408328,-3.528759949,-3.600995467,-3.5614522
yaeE,-3.334978525,-3.255769581,-3.187681121,-3.161037228,-3.33498331,-3.348843899
kdpA,-2.722220249,-2.684724185,-2.850105324,-2.648616573,-2.962479687,-3.012469978
kdsA,-4.216446611,-4.260075276,-4.28865917,-4.274996912,-4.238747835,-4.329261507
rfaP,-4.382742356,-4.50629492,-4.469893788,-4.386189831,-4.43871605,-4.534791382
secD,-3.258276253,-3.119159023,-3.211936607,-3.126485672,-3.298711181,-3.343331964
manZ,-3.635039872,-3.637941325,-3.582811109,-3.500009497,-3.69525725,-3.654906263
glcC,-3.666253088,-3.661852428,-3.623472481,-3.599578692,-3.65672466,-3.665342878
yafC,-3.715077424,-3.743636794,-3.519322107,-3.549942321,-3.6833598,-3.818553487
yhhX,-3.2790777,-3.259767479,-3.281801548,-3.196329125,-3.296582619,-3.312514887
yfdB,-3.253150939,-3.197021742,-3.159411703,-3.126553336,-3.276347271,-3.267461152
hipB,-4.021862794,-4.292258603,-4.086561596,-4.081980407,-4.168609485,-4.267200641
rffM,-3.734622307,-3.561332695,-3.468396075,-3.577318246,-3.698826077,-3.677833401
pheP,-3.330197379,-3.261875008,-3.329425875,-3.235083486,-3.30859301,-3.305621129
