block,temperature,carapace width,claw width,toadfish cue treatment,activity level,prey,eaten
21,30.55555556,20.3,4.3,No,0.433333333,2,1
25,31.11111111,20.7,3.6,No,0.066666667,2,0
20,30,21,4,Yes,0,2,0
26,28.88888889,21,4.2,Yes,0.066666667,2,1
31,31.11111111,21.1,4.3,No,0,2,0
26,28.88888889,21.3,4.4,No,0.133333333,2,2
22,28.88888889,21.8,4.5,Yes,0,2,0
21,30.55555556,22,4.7,Yes,0.133333333,2,2
18,32.22222222,22.3,4.9,Yes,0,2,1
28,31.66666667,22.3,5,No,0.133333333,2,2
20,30,22.7,4.6,No,0.466666667,2,2
13,26.66666667,22.7,5,Yes,0.1,2,2
19,33.33333333,23.2,4.9,No,0.133333333,2,0
27,31.11111111,23.7,4.8,Yes,0.233333333,2,2
33,33.33333333,23.8,5.1,No,0.266666667,2,0
30,28.88888889,24,5.3,Yes,0,2,1
18,32.22222222,24,5.3,No,0.466666667,2,2
15,26.66666667,25.2,5.6,No,0.266666667,2,2
4,23.33333333,25.2,6.6,No,0.166666667,2,2
24,30.55555556,25.4,5.9,No,0.2,2,2
24,30.55555556,25.5,6.2,Yes,0.033333333,2,2
7,28.33333333,25.6,6,No,0.233333333,2,1
9,25.55555556,25.7,5.9,No,0.517241379,2,1
17,30.55555556,26,6,Yes,0.7,2,1
6,27.77777778,26.3,6.3,Yes,0.4,2,1
12,26.11111111,26.4,6.8,Yes,0.4,2,2
22,28.88888889,26.5,5.8,No,0.7,2,1
6,27.77777778,26.6,6.1,No,0.333333333,2,2
11,25.55555556,26.8,6,No,0.133333333,2,2
10,25.55555556,26.8,6.5,No,0.233333333,2,2
25,31.11111111,26.9,6.2,Yes,0.566666667,2,2
4,23.33333333,26.9,6.4,Yes,0.633333333,2,0
1,25.55555556,27,6.5,No,0.5,2,2
7,28.33333333,27.1,6.4,Yes,0.2,2,1
23,30,27.1,7.1,Yes,0.366666667,2,2
8,26.66666667,27.2,5.7,No,0.633333333,2,2
29,31.11111111,27.3,6.1,No,0.033333333,2,2
3,25.55555556,27.3,6.6,No,0.166666667,2,2
33,33.33333333,27.3,6.8,Yes,0.1,2,1
13,26.66666667,27.5,6.9,No,0.3,2,2
8,26.66666667,27.6,6.3,Yes,0.433333333,2,2
10,25.55555556,27.9,6.4,Yes,0.466666667,2,2
11,25.55555556,28.4,6.7,Yes,0.366666667,2,1
16,30,28.7,7.3,Yes,0.733333333,2,2
28,31.66666667,29.2,6.7,Yes,0.6,2,1
5,23.33333333,29.2,7.6,No,0.333333333,2,2
14,26.11111111,29.6,7.5,Yes,0.5,2,0
12,26.11111111,29.8,7.2,No,0.666666667,2,2
5,23.33333333,30,8.2,Yes,0.333333333,2,2
15,26.66666667,30.3,8.2,Yes,0.733333333,2,2
16,30,30.5,7.7,No,0.866666667,2,2
32,30,31.4,8.4,Yes,0.866666667,2,1
30,28.88888889,32.4,8,No,0.692307692,2,0
31,31.11111111,19.1,3.8,No,0,4,0
23,30,19.1,4.1,Yes,0,4,1
16,30,20.6,4.5,Yes,0.2,4,0
17,30.55555556,21,4.7,No,0.2,4,1
13,26.66666667,21,4.8,Yes,0.066666667,4,0
26,28.88888889,21.1,4.1,Yes,0.2,4,1
16,30,21.1,4.7,No,0.333333333,4,4
24,30.55555556,21.2,4.3,Yes,0.033333333,4,1
12,26.11111111,21.4,4.9,No,0.433333333,4,3
32,30,21.5,4.3,Yes,0.066666667,4,3
21,30.55555556,21.5,4.4,No,0.366666667,4,4
20,30,21.5,4.5,Yes,0.033333333,4,4
25,31.11111111,21.6,4.5,No,0.6,4,2
33,33.33333333,21.7,4.8,Yes,0.033333333,4,3
21,30.55555556,21.8,5,Yes,0.133333333,4,3
30,28.88888889,22,4.3,Yes,0,4,0
29,31.11111111,22,4.6,No,0.3,4,4
24,30.55555556,22.1,4.4,No,0.366666667,4,4
27,31.11111111,22.5,4.8,No,0.333333333,4,4
18,32.22222222,22.7,4.9,Yes,0,4,4
19,33.33333333,22.7,4.9,No,0.133333333,4,4
30,28.88888889,23,3.5,No,0.466666667,4,0
19,33.33333333,23.3,5.1,Yes,0.4,4,4
33,33.33333333,23.3,5.3,No,0.1,4,4
22,28.88888889,23.7,5.5,No,0.133333333,4,4
23,30,24.2,5.3,No,0.1,4,4
18,32.22222222,24.3,5,No,0.066666667,4,3
6,27.77777778,24.3,6,Yes,0.133333333,4,3
14,26.11111111,25,5.3,Yes,0,4,4
20,30,25.3,5.5,No,0.3,4,4
10,25.55555556,25.5,6.3,No,0.733333333,4,2
11,25.55555556,26.4,6.1,Yes,0.7,4,4
26,28.88888889,26.9,6.2,No,0.533333333,4,0
27,31.11111111,26.9,6.4,Yes,0.3,4,4
22,28.88888889,27.1,6.1,Yes,0.4,4,2
7,28.33333333,27.1,6.4,No,0.266666667,4,0
12,26.11111111,27.2,6.1,Yes,0.533333333,4,3
4,23.33333333,27.2,6.3,No,0.533333333,4,1
15,26.66666667,27.2,6.9,No,0.6,4,4
32,30,27.6,6,No,0.3,4,4
9,25.55555556,28,6.2,No,0.482758621,4,4
3,25.55555556,28,6.7,No,0,4,0
13,26.66666667,28,7.2,No,0.066666667,4,0
7,28.33333333,28.1,6.2,Yes,0.366666667,4,4
25,31.11111111,28.1,6.9,Yes,0.566666667,4,2
28,31.66666667,28.2,6.6,No,0.533333333,4,4
1,25.55555556,28.3,6.5,No,0.2,4,4
11,25.55555556,28.4,6.7,No,0.466666667,4,4
10,25.55555556,28.4,7.3,Yes,0.666666667,4,2
6,27.77777778,28.6,6.2,No,0.633333333,4,4
28,31.66666667,28.8,6.9,Yes,0.1,4,3
5,23.33333333,28.9,7.7,No,0.6,4,4
8,26.66666667,29,7.1,Yes,0.2,4,1
4,23.33333333,29,7.1,Yes,0.766666667,4,0
2,23.33333333,29.1,6.7,No,0.166666667,4,4
31,31.11111111,29.4,5.3,Yes,0.473684211,4,3
5,23.33333333,29.8,7.9,Yes,0.5,4,2
8,26.66666667,30,6.5,No,0.8,4,1
15,26.66666667,30.9,8.2,Yes,0.766666667,4,4
25,31.11111111,19.6,4.1,Yes,0.033333333,6,4
12,26.11111111,20.4,4.5,Yes,0.2,6,2
21,30.55555556,20.5,4,No,0.1,6,5
31,31.11111111,20.6,4,Yes,0.033333333,6,1
13,26.66666667,21,4.6,No,0,6,0
21,30.55555556,21.2,4,Yes,0.1,6,6
20,30,21.6,4.8,No,0.566666667,6,3
30,28.88888889,21.7,4.4,No,0.366666667,6,1
18,32.22222222,21.8,4.4,No,0.166666667,6,6
25,31.11111111,22,4,No,0.6,6,3
28,31.66666667,22.2,4.9,Yes,0,6,3
20,30,22.3,4.9,Yes,0.033333333,6,4
19,33.33333333,22.4,5.1,No,0.1,6,6
26,28.88888889,22.5,4.7,No,0.533333333,6,3
33,33.33333333,22.6,4.4,Yes,0,6,2
18,32.22222222,22.7,5.3,Yes,0,6,4
17,30.55555556,23,4.6,No,0.366666667,6,6
15,26.66666667,23,4.9,Yes,0.166666667,6,2
22,28.88888889,23.6,5.1,Yes,0.1,6,3
14,26.11111111,23.7,5.2,Yes,0.166666667,6,5
15,26.66666667,24.2,5.5,No,0.433333333,6,2
19,33.33333333,24.3,5.3,Yes,0.066666667,6,1
24,30.55555556,24.8,5.9,Yes,0.433333333,6,5
22,28.88888889,24.9,5.5,No,0.466666667,6,3
29,31.11111111,25,5.7,No,0.033333333,6,6
27,31.11111111,25.7,5.6,Yes,0.133333333,6,4
5,23.33333333,25.9,6.2,Yes,0.033333333,6,0
2,23.33333333,26,7,No,0.433333333,6,6
10,25.55555556,26.1,6,Yes,0.5,6,4
32,30,26.3,6.1,Yes,0.3,6,1
1,25.55555556,26.4,5,No,0.333333333,6,6
10,25.55555556,26.6,6,No,0.7,6,5
5,23.33333333,26.6,6.7,No,0.066666667,6,4
12,26.11111111,27.2,6.8,No,0.633333333,6,1
11,25.55555556,27.3,6,No,0.666666667,6,3
4,23.33333333,27.4,6.5,Yes,0.366666667,6,1
23,30,27.6,6.7,Yes,0.1,6,6
28,31.66666667,27.7,6.5,No,0.733333333,6,6
7,28.33333333,28.1,6.4,No,0.433333333,6,3
24,30.55555556,28.3,6.4,No,0.8,6,6
4,23.33333333,28.3,6.6,No,0.5,6,0
13,26.66666667,28.4,6.6,Yes,0.333333333,6,6
26,28.88888889,29,6.3,Yes,0.5,6,3
8,26.66666667,29,6.5,No,0.466666667,6,6
30,28.88888889,29.2,7.5,Yes,0.133333333,6,5
9,25.55555556,29.2,7.5,No,0.517241379,6,6
6,27.77777778,29.2,8,No,0.666666667,6,5
6,27.77777778,29.6,7.5,Yes,0.433333333,6,1
16,30,29.8,7.3,No,0.566666667,6,5
3,25.55555556,30,7.4,No,0.833333333,6,3
11,25.55555556,30.1,7.6,Yes,0.5,6,4
7,28.33333333,30.2,7.1,Yes,0.233333333,6,1
32,30,30.7,7.3,No,0.833333333,6,6
16,30,31.2,8,Yes,0.733333333,6,3
23,30,19.8,4,Yes,0.166666667,8,3
26,28.88888889,20.4,4.3,No,0,8,1
30,28.88888889,20.6,4.4,No,0.307692308,8,2
20,30,20.8,4.1,Yes,0.2,8,5
22,28.88888889,21,4.4,Yes,0,8,1
32,30,21.7,5,Yes,0.066666667,8,3
17,30.55555556,21.8,4.6,Yes,0.133333333,8,0
24,30.55555556,22,4.4,No,0.1,8,7
21,30.55555556,22.1,4.5,Yes,0.033333333,8,7
28,31.66666667,22.1,4.8,No,0.4,8,6
23,30,22.3,5,No,0.3,8,7
16,30,22.4,4.9,No,0.466666667,8,7
15,26.66666667,22.5,4.5,No,0.533333333,8,8
18,32.22222222,22.5,5,No,0.066666667,8,7
13,26.66666667,22.6,5,No,0.466666667,8,0
